FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
5 1.25 0 0.09 0.3 0.13693917017169718
6 1.25 0 0.09 0.3 0.0759707317607721
7 1.25 0 0.09 0.3 0.09972457679415384
8 1.25 0 0.09 0.3 0.004500759539584558
9 1.25 0 0.09 0.3 0.01717110456127425
10 1.25 0 0.09 0.3 0.03793081061346847
11 1.25 0 0.09 0.3 0.016401294960560194
12 1.25 0 0.09 0.3 0.03612225579467763
13 1.25 0 0.09 0.3 0.042694512916767256
1 2.5 0 0.03 0.3 0.8333836368992338
2 2.5 0 0.03 0.3 0.3859551045258864
3 2.5 0 0.03 0.3 1.0279799637153921
4 2.5 0 0.03 0.3 1.2031879107363164
5 2.5 0 0.03 0.3 0.43009137662495833
6 2.5 0 0.03 0.3 0.29798345717833835
7 2.5 0 0.03 0.3 0.33191542661818924
8 2.5 0 0.03 0.3 0.017678831131497336
9 2.5 0 0.03 0.3 0.07905831859430512
10 2.5 0 0.03 0.3 0.12018514952634635
11 2.5 0 0.03 0.3 0.0513308790378761
12 2.5 0 0.03 0.3 0.11496001772996675
13 2.5 0 0.03 0.3 0.13856461554614957
1 2.5 0 0.05 0.3 0.6930071944341673
2 2.5 0 0.05 0.3 0.32790558249644103
3 2.5 0 0.05 0.3 0.8289518450819611
4 2.5 0 0.05 0.3 1.0772667380482877
5 2.5 0 0.05 0.3 0.3905117346312586
6 2.5 0 0.05 0.3 0.24029061397180462
7 2.5 0 0.05 0.3 0.29214706883992597
8 2.5 0 0.05 0.3 0.014422502199933896
9 2.5 0 0.05 0.3 0.06375176694199748
10 2.5 0 0.05 0.3 0.1065032630528901
11 2.5 0 0.05 0.3 0.04149992469005699
12 2.5 0 0.05 0.3 0.09199600369331058
13 2.5 0 0.05 0.3 0.11173699660925929
1 2.5 0 0.07 0.3 0.61776738943686
2 2.5 0 0.07 0.3 0.2974807891474115
3 2.5 0 0.07 0.3 0.702040338468716
4 2.5 0 0.07 0.3 0.9911415518895889
5 2.5 0 0.07 0.3 0.36115525852864866
6 2.5 0 0.07 0.3 0.2035024168948464
7 2.5 0 0.07 0.3 0.26109025980485295
8 2.5 0 0.07 0.3 0.01218594252525446
9 2.5 0 0.07 0.3 0.05399144993460195
10 2.5 0 0.07 0.3 0.09688689364197015
11 2.5 0 0.07 0.3 0.03681525499413272
12 2.5 0 0.07 0.3 0.07902218852967742
13 2.5 0 0.07 0.3 0.09463020003446182
1 2.5 0 0.09 0.3 0.4883628399433464
2 2.5 0 0.09 0.3 0.27175933530657875
3 2.5 0 0.09 0.3 0.6215826475779328
4 2.5 0 0.09 0.3 0.9249469590013716
5 2.5 0 0.09 0.3 0.33809074061860783
6 2.5 0 0.09 0.3 0.18017991866096117
7 2.5 0 0.09 0.3 0.236914356008026
8 2.5 0 0.09 0.3 0.010660816102716101
9 2.5 0 0.09 0.3 0.04780373228997409
10 2.5 0 0.09 0.3 0.09000065082153191
11 2.5 0 0.09 0.3 0.033135539758452105
12 2.5 0 0.09 0.3 0.07138124359951939
13 2.5 0 0.09 0.3 0.08378505771698089
1 3.75 0 0.03 0.3 1.8909235937242306
2 3.75 0 0.03 0.3 0.788345641252099
3 3.75 0 0.03 0.3 1.7250836995932652
4 3.75 0 0.03 0.3 2.095717419134999
5 3.75 0 0.03 0.3 0.7440705195259555
6 3.75 0 0.03 0.3 0.5036477844059072
7 3.75 0 0.03 0.3 0.5606347146131904
8 3.75 0 0.03 0.3 0.03080273273394848
9 3.75 0 0.03 0.3 0.15245843334043213
10 3.75 0 0.03 0.3 0.2070964382073587
11 3.75 0 0.03 0.3 0.07939712568398448
12 3.75 0 0.03 0.3 0.17581424582811933
13 3.75 0 0.03 0.3 0.21168035747748298
1 3.75 0 0.05 0.3 1.572413467886037
2 3.75 0 0.05 0.3 0.6697746283751039
3 3.75 0 0.05 0.3 1.3910887042294218
4 3.75 0 0.05 0.3 1.8763874269655203
5 3.75 0 0.05 0.3 0.6755965942591763
6 3.75 0 0.05 0.3 0.4061360871721308
7 3.75 0 0.05 0.3 0.4934624167154521
8 3.75 0 0.05 0.3 0.025129064094506184
9 3.75 0 0.05 0.3 0.12294081993493625
10 3.75 0 0.05 0.3 0.18352056408499806
11 3.75 0 0.05 0.3 0.06419088856945242
12 3.75 0 0.05 0.3 0.14069420245334682
13 3.75 0 0.05 0.3 0.17069673446198635
1 3.75 0 0.07 0.3 1.352662598288667
2 3.75 0 0.07 0.3 0.6076294385811581
3 3.75 0 0.07 0.3 1.1781147367621476
4 3.75 0 0.07 0.3 1.7263742401237638
5 3.75 0 0.07 0.3 0.6248090416313362
6 3.75 0 0.07 0.3 0.34395715238982505
7 3.75 0 0.07 0.3 0.4410047004605116
