FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
13 1.25 0 0.05 0.3 0.05693803614875281
1 1.25 0 0.07 0.3 0.1638029746011468
2 1.25 0 0.07 0.3 0.09490074149937985
3 1.25 0 0.07 0.3 0.29691631508372923
4 1.25 0 0.07 0.3 0.39958759437297586
5 1.25 0 0.07 0.3 0.14628114723156052
6 1.25 0 0.07 0.3 0.08580438731176371
7 1.25 0 0.07 0.3 0.10990096211490269
8 1.25 0 0.07 0.3 0.005144634007465413
9 1.25 0 0.07 0.3 0.01939373324698109
10 1.25 0 0.07 0.3 0.04083302042946582
11 1.25 0 0.07 0.3 0.018222665470629236
12 1.25 0 0.07 0.3 0.03998893215617033
13 1.25 0 0.07 0.3 0.04822089293457354
1 1.25 0 0.09 0.3 0.12949094956324161
2 1.25 0 0.09 0.3 0.08669521989600833
3 1.25 0 0.09 0.3 0.2628880694254469
4 1.25 0 0.09 0.3 0.3729006513401932
5 1.25 0 0.09 0.3 0.13693917017169718
6 1.25 0 0.09 0.3 0.0759707317607721
7 1.25 0 0.09 0.3 0.09972457679415384
8 1.25 0 0.09 0.3 0.004500759539584558
9 1.25 0 0.09 0.3 0.01717110456127425
10 1.25 0 0.09 0.3 0.03793081061346847
11 1.25 0 0.09 0.3 0.016401294960560194
12 1.25 0 0.09 0.3 0.03612225579467763
13 1.25 0 0.09 0.3 0.042694512916767256
1 1.25 5 0.03 0.3 0.2303419149639228
2 1.25 5 0.03 0.3 0.12698058131175952
3 1.25 5 0.03 0.3 0.44406488038322967
4 1.25 5 0.03 0.3 0.4971797296393529
5 1.25 5 0.03 0.3 0.17837617874179176
6 1.25 5 0.03 0.3 0.1285590088187977
7 1.25 5 0.03 0.3 0.14289646579818646
8 1.25 5 0.03 0.3 0.00765885105590449
9 1.25 5 0.03 0.3 0.029171975636916238
10 1.25 5 0.03 0.3 0.05196972463242772
11 1.25 5 0.03 0.3 0.02598912020513471
12 1.25 5 0.03 0.3 0.05952368443345563
13 1.25 5 0.03 0.3 0.07228629094044553
1 1.25 5 0.05 0.3 0.19154276275890295
2 1.25 5 0.05 0.3 0.10788208522832612
3 1.25 5 0.05 0.3 0.3580890823974207
4 1.25 5 0.05 0.3 0.4451467478962172
5 1.25 5 0.05 0.3 0.16196091054877068
6 1.25 5 0.05 0.3 0.1036685843341547
7 1.25 5 0.05 0.3 0.12577536409161025
8 1.25 5 0.05 0.3 0.006248139109488341
9 1.25 5 0.05 0.3 0.023523963386900045
10 1.25 5 0.05 0.3 0.04605348726633127
11 1.25 5 0.05 0.3 0.021011651300147993
12 1.25 5 0.05 0.3 0.047633439878569356
13 1.25 5 0.05 0.3 0.05829087760878169
1 1.25 5 0.07 0.3 0.17074696116496382
2 1.25 5 0.07 0.3 0.09787222164459211
3 1.25 5 0.07 0.3 0.30326608487539003
4 1.25 5 0.07 0.3 0.4095582114860431
5 1.25 5 0.07 0.3 0.1497856001075327
6 1.25 5 0.07 0.3 0.08779705174228387
7 1.25 5 0.07 0.3 0.11240476455275195
8 1.25 5 0.07 0.3 0.005279213206039137
9 1.25 5 0.07 0.3 0.01992247356254105
10 1.25 5 0.07 0.3 0.04189523583328166
11 1.25 5 0.07 0.3 0.01863977600537873
12 1.25 5 0.07 0.3 0.04091589324847016
13 1.25 5 0.07 0.3 0.04936661603312007
1 1.25 5 0.09 0.3 0.13498037010699263
2 1.25 5 0.09 0.3 0.08940977323390277
3 1.25 5 0.09 0.3 0.26851012061301816
4 1.25 5 0.09 0.3 0.3822053686739751
5 1.25 5 0.09 0.3 0.1402198175949894
6 1.25 5 0.09 0.3 0.07773502586837101
